loss,accuracy,val_loss,val_accuracy
0.4126509726047516,0.8718836307525635,0.20243173837661743,0.9418282508850098
0.18605688214302063,0.940304696559906,0.18472377955913544,0.9445983171463013
0.15197262167930603,0.9486149549484253,0.2085009217262268,0.9379501342773438
0.13203150033950806,0.9502770304679871,0.17359822988510132,0.94792240858078
0.1214984729886055,0.9584487676620483,0.22804206609725952,0.9335179924964905
0.10554845631122589,0.9634348750114441,0.2228161096572876,0.9457063674926758
0.0840202271938324,0.9695290923118591,0.19715359807014465,0.9451523423194885
0.08622241020202637,0.9660664796829224,0.2589934766292572,0.9368420839309692
0.08030689507722855,0.9699445962905884,0.2148464322090149,0.944044291973114
0.0811241939663887,0.9703601002693176,0.20132482051849365,0.9457063674926758
0.07558268308639526,0.9731301665306091,0.2380771040916443,0.942382276058197
0.07334276288747787,0.9738227128982544,0.2481854110956192,0.9429363012313843
0.06132524460554123,0.9764542579650879,0.2576068639755249,0.9373961091041565
0.05630536377429962,0.9792243838310242,0.24444442987442017,0.9396122097969055
0.09377877414226532,0.9681440591812134,0.17878714203834534,0.9490304589271545
0.04639115557074547,0.9843490123748779,0.18436138331890106,0.94792240858078
0.02628275938332081,0.9908587336540222,0.22084152698516846,0.950138509273529
0.015139841474592686,0.9963988661766052,0.19520489871501923,0.9540166258811951
0.011550402268767357,0.9975069165229797,0.2144458144903183,0.9562326669692993
0.005949981510639191,0.9988919496536255,0.2283027470111847,0.9523545503616333
0.010723702609539032,0.996260404586792,0.22850187122821808,0.9523545503616333
0.0048975758254528046,0.9987534284591675,0.2348071038722992,0.9490304589271545
