loss,accuracy,val_loss,val_accuracy
0.32339030504226685,0.9020775556564331,0.15644556283950806,0.9512465596199036
0.136762797832489,0.9567866921424866,0.1463918685913086,0.9529085755348206
0.10661885887384415,0.9649584293365479,0.14364026486873627,0.9534626007080078
0.08778657019138336,0.9711911082267761,0.1664002537727356,0.9457063674926758
0.07633999735116959,0.9753462672233582,0.16849233210086823,0.950138509273529
0.0675034299492836,0.9771468043327332,0.1507173329591751,0.9562326669692993
0.06040861830115318,0.9792243838310242,0.1491328775882721,0.9529085755348206
0.05557917430996895,0.9810249209403992,0.1587516814470291,0.9567866921424866
0.050282347947359085,0.9836565256118774,0.1591765433549881,0.9556786417961121
0.051208753138780594,0.9824099540710449,0.1690453588962555,0.9512465596199036
0.04805445298552513,0.9831025004386902,0.18182305991649628,0.9512465596199036
0.040816519409418106,0.9855955839157104,0.16379475593566895,0.9567866921424866
0.039794597774744034,0.9862880706787109,0.16510146856307983,0.9534626007080078
