loss,accuracy,val_loss,val_accuracy
0.3123687505722046,0.9211911559104919,0.13469591736793518,0.9645429253578186
0.1265067607164383,0.9623268842697144,0.11818503588438034,0.9639889001846313
0.10098057985305786,0.9684210419654846,0.11417792737483978,0.9650969505310059
0.08632463216781616,0.9728531837463379,0.11293406039476395,0.9645429253578186
0.0766916573047638,0.9757617712020874,0.11284612119197845,0.9656509757041931
0.06699416041374207,0.9793628454208374,0.11238709092140198,0.9645429253578186
0.05553308129310608,0.9833794832229614,0.11356790363788605,0.9650969505310059
0.051610808819532394,0.9844875335693359,0.11264798045158386,0.9595567584037781
0.04877716675400734,0.9850415587425232,0.11193239688873291,0.9639889001846313
0.04425148293375969,0.9869806170463562,0.11270996183156967,0.9639889001846313
0.04242033511400223,0.9871190786361694,0.11364071071147919,0.9612188339233398
0.039886824786663055,0.98850417137146,0.11993519216775894,0.9612188339233398
0.03499996289610863,0.9907202124595642,0.1169312447309494,0.9645429253578186
0.03753017634153366,0.9880886077880859,0.11792650818824768,0.9628809094429016
0.031292203813791275,0.9907202124595642,0.12269735336303711,0.9639889001846313
0.02998753823339939,0.991966724395752,0.11809041351079941,0.9650969505310059
0.029627861455082893,0.9909971952438354,0.1186630055308342,0.9645429253578186
0.028712447732686996,0.9909971952438354,0.12364798039197922,0.9662050008773804
0.027815276756882668,0.9918282628059387,0.1292988657951355,0.9623268842697144
0.03817689046263695,0.988365650177002,0.11294129490852356,0.9656509757041931
0.03575819730758667,0.9894737005233765,0.11603530496358871,0.9650969505310059
0.03021467849612236,0.9915512204170227,0.1180940791964531,0.9662050008773804
0.027912670746445656,0.9915512204170227,0.11896219849586487,0.9650969505310059
0.026027152314782143,0.9932132959365845,0.12012569606304169,0.9662050008773804
0.023565350100398064,0.9930747747421265,0.12215729802846909,0.9650969505310059
0.018983539193868637,0.995983362197876,0.12456679344177246,0.9650969505310059
0.018298231065273285,0.995983362197876,0.12359032034873962,0.9656509757041931
