loss,accuracy,val_loss,val_accuracy
0.321795791387558,0.9182825684547424,0.13562236726284027,0.9650969505310059
0.12864400446414948,0.9605262875556946,0.1178768053650856,0.9684210419654846
0.10340346395969391,0.9674515128135681,0.11335152387619019,0.9656509757041931
0.0851922556757927,0.9747922420501709,0.1124168187379837,0.9667589664459229
0.076432004570961,0.9756232500076294,0.11009946465492249,0.9667589664459229
0.06766115874052048,0.9783933162689209,0.1111077070236206,0.9662050008773804
0.05695515498518944,0.9822714328765869,0.11137890815734863,0.9684210419654846
0.05243796482682228,0.9847645163536072,0.11137929558753967,0.9673129916191101
0.04876796156167984,0.9860110878944397,0.11701662838459015,0.9623268842697144
0.04333915188908577,0.9869806170463562,0.11098496615886688,0.9656509757041931
0.040980175137519836,0.9879501461982727,0.11230247467756271,0.9645429253578186
0.03526915982365608,0.990304708480835,0.11272032558917999,0.9645429253578186
0.03405521437525749,0.9886426329612732,0.11832839995622635,0.9628809094429016
0.03464309871196747,0.990304708480835,0.11580801755189896,0.9678670167922974
0.03305226191878319,0.990027666091919,0.11549583077430725,0.9656509757041931
