loss,accuracy,val_loss,val_accuracy
0.3303157687187195,0.9002770185470581,0.15163759887218475,0.950138509273529
0.1395370066165924,0.9566481709480286,0.1488678902387619,0.9534626007080078
0.11192867159843445,0.9624653458595276,0.15615513920783997,0.9473684430122375
0.08665279299020767,0.9710526466369629,0.1538415551185608,0.9484764337539673
0.0834311842918396,0.9725761413574219,0.15564842522144318,0.9540166258811951
0.06601167470216751,0.9783933162689209,0.14668838679790497,0.9529085755348206
0.0618181973695755,0.9806094169616699,0.14622262120246887,0.9551246762275696
0.055951252579689026,0.9818559288978577,0.15629054605960846,0.9534626007080078
0.052310340106487274,0.9810249209403992,0.15128478407859802,0.9540166258811951
0.04742768779397011,0.9831025004386902,0.1645849645137787,0.9523545503616333
0.04808960482478142,0.9837949872016907,0.16912399232387543,0.9573407173156738
0.03949841484427452,0.986426591873169,0.1609795093536377,0.9540166258811951
0.04137816280126572,0.9871190786361694,0.16327686607837677,0.951800525188446
0.03578732907772064,0.9880886077880859,0.18562306463718414,0.9512465596199036
0.03964829444885254,0.9869806170463562,0.1704711616039276,0.9562326669692993
0.033257778733968735,0.9891966581344604,0.18072950839996338,0.9551246762275696
0.03477945178747177,0.988365650177002,0.18365369737148285,0.9540166258811951
0.05360995978116989,0.9825484752655029,0.14964519441127777,0.9506925344467163
0.03834155201911926,0.990166187286377,0.1439654678106308,0.9556786417961121
0.026955191045999527,0.99210524559021,0.16337810456752777,0.9495844841003418
0.02356645092368126,0.9932132959365845,0.15036213397979736,0.9506925344467163
0.018508974462747574,0.9945983290672302,0.15519994497299194,0.9523545503616333
0.014832890592515469,0.9965373873710632,0.15370610356330872,0.9584487676620483
0.011968210339546204,0.9973683953285217,0.15181559324264526,0.9573407173156738
0.009905518963932991,0.997783899307251,0.16641773283481598,0.9495844841003418
0.009936638176441193,0.997922420501709,0.16131339967250824,0.9545706510543823
